1	0.33	0.67	0.66
2	-1	0	0
3	-0.11	-0.9	-0.38
4	-0.89	-0.13	-0.43
5	-0.16	-0.72	-0.67
6	-0.6	0.4	0.68
7	-0.66	-0.49	-0.56
8	-0.35	0.36	0.86
9	-0.3	0.09	-0.94
10	0.59	0.56	0.58
11	-0.02	-0.37	-0.92
12	0	-1	0
13	0	0	-1
14	0.9	0.36	0.21
15	-0.29	-0.39	-0.87
16	0.02	0.84	0.55
17	0	1	0
18	-0.06	0.86	0.5
19	0.61	-0.51	0.58
20	-0.52	-0.63	-0.57
21	-0.82	0.28	0.48
22	0	0	1
23	0.91	0.13	0.38
24	0.29	0.8	0.52
25	0.34	-0.34	-0.87
26	-0.65	0.01	-0.75
27	0.11	0.91	0.4
28	-0.79	-0.32	-0.52
29	0.55	-0.17	0.81
30	0.81	-0.29	-0.5
31	0.47	0.69	0.55
32	0.62	-0.32	-0.71
33	0.93	-0.12	-0.26
34	0.76	0.33	0.56
35	-0.59	-0.31	-0.74
36	-0.67	0.28	-0.67
