"Date" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "17" "18" "19" "20" "21" "22" "23" "24" "25" "26" "27" "28" "29" "30" "31" "32" "33" "34"
2018-02-11 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8
2018-02-12 6 7 5 6 7 6 7 7 7 6 7 6 6 5 7 5 5 7 7 5 5 7 5 5 6 5 7 6 7 7 7 7 7 7
2018-02-13 7 5 6 5 6 7 5 6 6 6 7 7 7 6 7 7 6 6 7 7 6 5 7 7 5 7 6 7 7 7 6 7 7 6
2018-02-14 7 7 6 7 6 5 7 7 5 7 7 6 7 5 6 7 6 5 6 7 5 7 7 7 6 5 7 6 5 7 6 7 7 7
2018-02-15 6 5 6 5 7 5 7 7 7 5 7 6 7 5 7 7 5 6 7 7 7 6 6 6 7 7 7 7 7 6 7 7 7 7
2018-02-16 5 7 7 6 7 7 7 7 5 6 5 5 7 7 7 5 7 7 7 6 6 5 7 7 7 5 5 7 6 7 7 6 7 6
2018-02-17 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8
2018-02-18 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8
2018-02-19 6 7 7 6 7 7 7 7 7 6 6 7 7 5 7 5 5 6 6 6 7 5 6 5 5 6 7 6 6 6 7 6 6 7
2018-02-20 7 5 6 7 5 7 7 6 7 6 7 7 7 5 7 7 6 7 6 6 7 6 6 5 6 6 7 5 6 6 6 5 5 7
2018-02-21 6 6 6 6 6 6 5 7 7 6 7 7 7 7 7 5 6 7 6 7 7 6 6 7 6 7 5 7 6 6 7 6 6 5
2018-02-22 7 5 7 7 5 6 7 6 6 6 7 6 5 7 6 6 7 5 5 7 7 5 5 6 6 5 7 7 6 6 7 6 7 6
2018-02-23 6 6 7 7 6 6 6 5 6 6 7 7 7 7 6 6 6 7 6 6 7 6 5 6 7 7 5 7 6 7 7 7 7 7
2018-02-24 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8
2018-02-25 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8
2018-02-26 6 6 6 7 7 7 6 7 7 7 7 5 7 7 7 7 7 7 6 7 7 5 7 6 6 6 7 7 7 6 7 6 6 5
2018-02-27 7 7 6 7 7 6 6 7 5 7 7 5 7 7 6 6 7 7 7 7 5 6 6 6 5 6 7 6 7 7 6 7 5 5
2018-02-28 6 6 6 5 7 7 7 7 7 6 7 6 7 5 6 7 7 5 7 7 5 7 7 6 7 7 7 7 5 6 7 7 7 6
