mcYear;timeId;link;time;day;month;hour;FLOW LIN.
33;4674;be - de;2018-01-11T17:00:00Z;11;JAN;17:00;0
33;4674;be - fr;2018-01-11T17:00:00Z;11;JAN;17:00;149
33;4674;be - nl;2018-01-11T17:00:00Z;11;JAN;17:00;0
33;4674;de - fr;2018-01-11T17:00:00Z;11;JAN;17:00;3781
33;4674;de - nl;2018-01-11T17:00:00Z;11;JAN;17:00;31
45;3667;be - de;2017-11-30T18:00:00Z;30;NOV;18:00;0
45;4604;be - de;2018-01-08T19:00:00Z;8;JAN;19:00;0
45;3667;be - fr;2017-11-30T18:00:00Z;30;NOV;18:00;-1167
45;4604;be - fr;2018-01-08T19:00:00Z;8;JAN;19:00;198
45;3667;be - nl;2017-11-30T18:00:00Z;30;NOV;18:00;0
45;4604;be - nl;2018-01-08T19:00:00Z;8;JAN;19:00;0
45;3667;de - fr;2017-11-30T18:00:00Z;30;NOV;18:00;1854
45;4604;de - fr;2018-01-08T19:00:00Z;8;JAN;19:00;2621
45;3667;de - nl;2017-11-30T18:00:00Z;30;NOV;18:00;937
45;4604;de - nl;2018-01-08T19:00:00Z;8;JAN;19:00;1042
46;4651;be - de;2018-01-10T18:00:00Z;10;JAN;18:00;0
46;4651;be - fr;2018-01-10T18:00:00Z;10;JAN;18:00;-233
46;4651;be - nl;2018-01-10T18:00:00Z;10;JAN;18:00;0
46;4651;de - fr;2018-01-10T18:00:00Z;10;JAN;18:00;1729
46;4651;de - nl;2018-01-10T18:00:00Z;10;JAN;18:00;707
50;3283;be - de;2017-11-14T18:00:00Z;14;NOV;18:00;0
50;3283;be - fr;2017-11-14T18:00:00Z;14;NOV;18:00;-2193
50;3283;be - nl;2017-11-14T18:00:00Z;14;NOV;18:00;0
50;3283;de - fr;2017-11-14T18:00:00Z;14;NOV;18:00;1967
50;3283;de - nl;2017-11-14T18:00:00Z;14;NOV;18:00;656
62;2084;be - de;2017-09-25T19:00:00Z;25;SEP;19:00;0
62;2084;be - fr;2017-09-25T19:00:00Z;25;SEP;19:00;-344
62;2084;be - nl;2017-09-25T19:00:00Z;25;SEP;19:00;0
62;2084;de - fr;2017-09-25T19:00:00Z;25;SEP;19:00;-3657
62;2084;de - nl;2017-09-25T19:00:00Z;25;SEP;19:00;4046
77;4498;be - de;2018-01-04T09:00:00Z;4;JAN;09:00;0
77;4498;be - fr;2018-01-04T09:00:00Z;4;JAN;09:00;495
77;4498;be - nl;2018-01-04T09:00:00Z;4;JAN;09:00;0
77;4498;de - fr;2018-01-04T09:00:00Z;4;JAN;09:00;1624
77;4498;de - nl;2018-01-04T09:00:00Z;4;JAN;09:00;1473
81;3764;be - de;2017-12-04T19:00:00Z;4;DEC;19:00;0
81;3764;be - fr;2017-12-04T19:00:00Z;4;DEC;19:00;-932
81;3764;be - nl;2017-12-04T19:00:00Z;4;DEC;19:00;0
81;3764;de - fr;2017-12-04T19:00:00Z;4;DEC;19:00;1860
81;3764;de - nl;2017-12-04T19:00:00Z;4;DEC;19:00;763
94;4987;be - de;2018-01-24T18:00:00Z;24;JAN;18:00;0
94;4987;be - fr;2018-01-24T18:00:00Z;24;JAN;18:00;-1745
94;4987;be - nl;2018-01-24T18:00:00Z;24;JAN;18:00;0
94;4987;de - fr;2018-01-24T18:00:00Z;24;JAN;18:00;5388
94;4987;de - nl;2018-01-24T18:00:00Z;24;JAN;18:00;545
102;5275;be - de;2018-02-05T18:00:00Z;5;FEB;18:00;0
102;5275;be - fr;2018-02-05T18:00:00Z;5;FEB;18:00;-459
102;5275;be - nl;2018-02-05T18:00:00Z;5;FEB;18:00;0
102;5275;de - fr;2018-02-05T18:00:00Z;5;FEB;18:00;5971
102;5275;de - nl;2018-02-05T18:00:00Z;5;FEB;18:00;-22
181;4699;be - de;2018-01-12T18:00:00Z;12;JAN;18:00;0
181;4699;be - fr;2018-01-12T18:00:00Z;12;JAN;18:00;403
181;4699;be - nl;2018-01-12T18:00:00Z;12;JAN;18:00;0
181;4699;de - fr;2018-01-12T18:00:00Z;12;JAN;18:00;2572
