area;mcYear;timeId;time;day;month;hour;BALANCE;UNSP. ENRG;LOLD;DTG MRG;ipn;strategicMargin
be;94;4987;2018-01-24T18:00:00Z;24;JAN;18:00;-2785;462;1;0;-1558;0
de;94;4987;2018-01-24T18:00:00Z;24;JAN;18:00;-2513;-12933;1;0;6359;12933
nl;94;4987;2018-01-24T18:00:00Z;24;JAN;18:00;-545;144;1;0;-191;0
fr;102;5275;2018-02-05T18:00:00Z;5;FEB;18:00;-13090;5644;1;0;-5512;0
be;102;5275;2018-02-05T18:00:00Z;5;FEB;18:00;-1489;471;1;0;-869;0
de;102;5275;2018-02-05T18:00:00Z;5;FEB;18:00;3253;-12949;1;0;6359;12949
nl;102;5275;2018-02-05T18:00:00Z;5;FEB;18:00;22;0;0;0;22;0
fr;181;4699;2018-01-12T18:00:00Z;12;JAN;18:00;-12875;2498;1;0;-4623;0
be;181;4699;2018-01-12T18:00:00Z;12;JAN;18:00;-626;0;0;0;2387;403
de;181;4699;2018-01-12T18:00:00Z;12;JAN;18:00;4303;-10715;1;0;4338;10715
nl;181;4699;2018-01-12T18:00:00Z;12;JAN;18:00;-1310;959;1;0;-2102;0
fr;224;4668;2018-01-11T11:00:00Z;11;JAN;11:00;-11150;6147;1;0;-4786;0
be;224;4668;2018-01-11T11:00:00Z;11;JAN;11:00;-356;0;0;0;0;0
de;224;4668;2018-01-11T11:00:00Z;11;JAN;11:00;10412;-11155;1;0;4786;11155
nl;224;4668;2018-01-11T11:00:00Z;11;JAN;11:00;-2105;2228;1;0;0;0
fr;360;4646;2018-01-10T13:00:00Z;10;JAN;13:00;-11786;3;1;0;-4138;0
be;360;4646;2018-01-10T13:00:00Z;10;JAN;13:00;-1830;1;1;0;-891;0
de;360;4646;2018-01-10T13:00:00Z;10;JAN;13:00;6743;-11549;1;0;4551;11549
nl;360;4646;2018-01-10T13:00:00Z;10;JAN;13:00;-524;0;0;0;478;0
fr;381;4003;2017-12-14T18:00:00Z;14;DEC;18:00;-6587;881;1;0;-1981;0
be;381;4003;2017-12-14T18:00:00Z;14;DEC;18:00;-1151;105;1;0;-236;0
de;381;4003;2017-12-14T18:00:00Z;14;DEC;18:00;-758;0;0;6733;3454;3530
nl;381;4003;2017-12-14T18:00:00Z;14;DEC;18:00;-2799;1441;1;0;-1237;0
fr;383;4193;2017-12-22T16:00:00Z;22;DEC;16:00;5839;0;0;9036;3715;0
be;383;4193;2017-12-22T16:00:00Z;22;DEC;16:00;132;0;0;0;794;0
de;383;4193;2017-12-22T16:00:00Z;22;DEC;16:00;779;0;0;13007;-965;500
nl;383;4193;2017-12-22T16:00:00Z;22;DEC;16:00;-4544;1117;1;0;-3544;0
fr;387;4987;2018-01-24T18:00:00Z;24;JAN;18:00;-511;0;0;2338;5028;0
be;387;4987;2018-01-24T18:00:00Z;24;JAN;18:00;-1237;-1898;1;0;-309;1898
de;387;4987;2018-01-24T18:00:00Z;24;JAN;18:00;-2718;0;0;10454;-1479;1988
nl;387;4987;2018-01-24T18:00:00Z;24;JAN;18:00;-3261;1615;1;0;-3240;0
fr;406;4458;2018-01-02T17:00:00Z;2;JAN;17:00;-7536;403;1;0;-1640;0
be;406;4458;2018-01-02T17:00:00Z;2;JAN;17:00;197;-3237;1;0;1237;3237
de;406;4458;2018-01-02T17:00:00Z;2;JAN;17:00;-3687;0;0;13602;3916;4088
nl;406;4458;2018-01-02T17:00:00Z;2;JAN;17:00;-3588;1171;1;0;-3513;0
fr;600;4815;2018-01-17T14:00:00Z;17;JAN;14:00;-8976;3176;1;0;-4307;0
be;600;4815;2018-01-17T14:00:00Z;17;JAN;14:00;-813;-1353;1;0;-362;1353
de;600;4815;2018-01-17T14:00:00Z;17;JAN;14:00;6623;0;0;243;4665;4922
nl;600;4815;2018-01-17T14:00:00Z;17;JAN;14:00;-996;0;0;0;4;0
