"mcYear";"timeId";"area";"time";"day";"month";"hour";"BALANCE";"UNSP. ENRG";"LOLD";"DTG MRG"
102;5275;"de";"2018-02-05 18:00:00";5;"FEB";"18:00";3253;0;0;10771
102;5275;"nl";"2018-02-05 18:00:00";5;"FEB";"18:00";22;0;0;0
181;4699;"fr";"2018-01-12 18:00:00";12;"JAN";"18:00";-12875;2498;1;0
181;4699;"be";"2018-01-12 18:00:00";12;"JAN";"18:00";-626;0;0;0
181;4699;"de";"2018-01-12 18:00:00";12;"JAN";"18:00";4303;0;0;15478
181;4699;"nl";"2018-01-12 18:00:00";12;"JAN";"18:00";-1310;959;1;0
189;3834;"fr";"2017-12-07 17:00:00";7;"DEC";"17:00";-4865;0;0;0
189;3834;"be";"2017-12-07 17:00:00";7;"DEC";"17:00";-1402;0;0;0
189;3834;"de";"2017-12-07 17:00:00";7;"DEC";"17:00";-6044;563;1;7721
189;3834;"nl";"2017-12-07 17:00:00";7;"DEC";"17:00";-1000;133;1;0
224;4668;"fr";"2018-01-11 11:00:00";11;"JAN";"11:00";-11150;6147;1;0
224;4668;"be";"2018-01-11 11:00:00";11;"JAN";"11:00";-356;0;0;0
224;4668;"de";"2018-01-11 11:00:00";11;"JAN";"11:00";10412;0;0;8112
224;4668;"nl";"2018-01-11 11:00:00";11;"JAN";"11:00";-2105;2228;1;0
360;4646;"fr";"2018-01-10 13:00:00";10;"JAN";"13:00";-11786;3;1;0
360;4646;"be";"2018-01-10 13:00:00";10;"JAN";"13:00";-1830;1;1;0
360;4646;"de";"2018-01-10 13:00:00";10;"JAN";"13:00";6743;0;0;10192
360;4646;"nl";"2018-01-10 13:00:00";10;"JAN";"13:00";-524;0;0;0
381;4003;"fr";"2017-12-14 18:00:00";14;"DEC";"18:00";-6587;881;1;0
381;4003;"be";"2017-12-14 18:00:00";14;"DEC";"18:00";-1151;105;1;0
381;4003;"de";"2017-12-14 18:00:00";14;"DEC";"18:00";-758;0;0;6733
381;4003;"nl";"2017-12-14 18:00:00";14;"DEC";"18:00";-2799;1441;1;0
383;4193;"fr";"2017-12-22 16:00:00";22;"DEC";"16:00";5839;0;0;9036
383;4193;"be";"2017-12-22 16:00:00";22;"DEC";"16:00";132;0;0;0
383;4193;"de";"2017-12-22 16:00:00";22;"DEC";"16:00";779;0;0;13007
383;4193;"nl";"2017-12-22 16:00:00";22;"DEC";"16:00";-4544;1117;1;0
387;4987;"fr";"2018-01-24 18:00:00";24;"JAN";"18:00";-511;0;0;2338
387;4987;"be";"2018-01-24 18:00:00";24;"JAN";"18:00";-1237;102;1;0
387;4987;"de";"2018-01-24 18:00:00";24;"JAN";"18:00";-2718;0;0;10454
387;4987;"nl";"2018-01-24 18:00:00";24;"JAN";"18:00";-3261;1615;1;0
406;4458;"fr";"2018-01-02 17:00:00";2;"JAN";"17:00";-7536;403;1;0
406;4458;"be";"2018-01-02 17:00:00";2;"JAN";"17:00";197;0;0;0
406;4458;"de";"2018-01-02 17:00:00";2;"JAN";"17:00";-3687;0;0;13602
406;4458;"nl";"2018-01-02 17:00:00";2;"JAN";"17:00";-3588;1171;1;0
589;3930;"fr";"2017-12-11 17:00:00";11;"DEC";"17:00";-7896;276;1;0
589;3930;"be";"2017-12-11 17:00:00";11;"DEC";"17:00";-1029;1769;1;0
589;3930;"de";"2017-12-11 17:00:00";11;"DEC";"17:00";-5502;558;1;7481
589;3930;"nl";"2017-12-11 17:00:00";11;"DEC";"17:00";-1000;1310;1;0
600;4815;"fr";"2018-01-17 14:00:00";17;"JAN";"14:00";-8976;3176;1;0
600;4815;"be";"2018-01-17 14:00:00";17;"JAN";"14:00";-813;647;1;0
600;4815;"de";"2018-01-17 14:00:00";17;"JAN";"14:00";6623;0;0;243
600;4815;"nl";"2018-01-17 14:00:00";17;"JAN";"14:00";-996;0;0;0
