"mcYear";"timeId";"link";"time";"day";"month";"hour";"FLOW LIN."
102;5275;"de - nl";"2018-02-05 18:00:00";5;"FEB";"18:00";-22
181;4699;"be - de";"2018-01-12 18:00:00";12;"JAN";"18:00";0
181;4699;"be - fr";"2018-01-12 18:00:00";12;"JAN";"18:00";403
181;4699;"be - nl";"2018-01-12 18:00:00";12;"JAN";"18:00";0
181;4699;"de - fr";"2018-01-12 18:00:00";12;"JAN";"18:00";2572
181;4699;"de - nl";"2018-01-12 18:00:00";12;"JAN";"18:00";1143
189;3834;"be - de";"2017-12-07 17:00:00";7;"DEC";"17:00";0
189;3834;"be - fr";"2017-12-07 17:00:00";7;"DEC";"17:00";-363
189;3834;"be - nl";"2017-12-07 17:00:00";7;"DEC";"17:00";0
189;3834;"de - fr";"2017-12-07 17:00:00";7;"DEC";"17:00";0
189;3834;"de - nl";"2017-12-07 17:00:00";7;"DEC";"17:00";0
224;4668;"be - de";"2018-01-11 11:00:00";11;"JAN";"11:00";0
224;4668;"be - fr";"2018-01-11 11:00:00";11;"JAN";"11:00";0
224;4668;"be - nl";"2018-01-11 11:00:00";11;"JAN";"11:00";0
224;4668;"de - fr";"2018-01-11 11:00:00";11;"JAN";"11:00";3050
224;4668;"de - nl";"2018-01-11 11:00:00";11;"JAN";"11:00";1105
360;4646;"be - de";"2018-01-10 13:00:00";10;"JAN";"13:00";0
360;4646;"be - fr";"2018-01-10 13:00:00";10;"JAN";"13:00";-890
360;4646;"be - nl";"2018-01-10 13:00:00";10;"JAN";"13:00";0
360;4646;"de - fr";"2018-01-10 13:00:00";10;"JAN";"13:00";5025
360;4646;"de - nl";"2018-01-10 13:00:00";10;"JAN";"13:00";-476
381;4003;"be - de";"2017-12-14 18:00:00";14;"DEC";"18:00";0
381;4003;"be - fr";"2017-12-14 18:00:00";14;"DEC";"18:00";-131
381;4003;"be - nl";"2017-12-14 18:00:00";14;"DEC";"18:00";0
381;4003;"de - fr";"2017-12-14 18:00:00";14;"DEC";"18:00";1231
381;4003;"de - nl";"2017-12-14 18:00:00";14;"DEC";"18:00";1799
383;4193;"be - de";"2017-12-22 16:00:00";22;"DEC";"16:00";0
383;4193;"be - fr";"2017-12-22 16:00:00";22;"DEC";"16:00";-2750
