"Period" "BE" "DE" "FR" "NL" "RAM_0" "Row" "Num_date"
5 0.12059 -0.1758 -0.09488 -0.21666 1284.6926 580 20151210
5 -0.04408 0.04969 0.06742 0.02164 568.60244 600 20151210
5 -0.00316 -0.01999 -0.0124 0.07023 189.68548 602 20151210
5 -0.00318 0.04717 -0.01145 0.04811 100.58068 604 20151210
5 -0.00403 -0.04242 -0.04243 0.01788 120.50132 617 20151210
5 -0.00325 0.05012 -0.01169 0.04925 104.8042 633 20151210
6 0.01239 0.07227 0.04611 0.11226 264.24064 25 20151210
6 0 -1 0 0 4400 85 20151210
6 -0.00397 -0.04229 -0.042 0.01534 115.67752 99 20151210
6 0.00634 0.07414 0.03312 -0.15165 588.57712 154 20151210
6 0.04375 -0.05222 -0.05089 -0.03741 328.94188 208 20151210
6 -0.00294 0.05074 -0.00797 0.05131 101.1604 211 20151210
6 -0.00318 0.04717 -0.0115 0.05445 114.27036 234 20151210
6 -0.00438 -0.06617 -0.05395 0.00993 161.18572 252 20151210
6 -0.004 -0.04315 -0.04251 0.01535 117.535 286 20151210
6 -1 0 0 0 4500 297 20151210
6 0.07756 -0.22623 -0.09966 -0.29 1433.99748 308 20151210
6 -0.00406 -0.04207 -0.04266 0.01638 117.58588 388 20151210
6 0.04408 -0.04969 -0.06759 -0.02296 284.44052 398 20151210
6 0.12059 -0.1758 -0.09491 -0.21662 1222.68708 420 20151210
6 -0.00315 -0.01984 -0.01236 0.08831 226.83572 434 20151210
6 0 0 1 0 5301 444 20151210
6 -0.0041 -0.04024 -0.04254 0.01735 118.7436 463 20151210
6 -0.00283 0.04615 -0.00904 0.0488 98.67456 483 20151210
6 0.0858 0.2615 0.39495 0.18107 1661.09504 516 20151210
6 0.02035 -0.1451 0.07602 -0.10803 895.29764 548 20151210
6 -0.00213 -0.00507 -0.01956 0.01854 71.62224 563 20151210
6 -0.00267 0.06039 -0.00367 0.05472 123.43128 644 20151210
6 0.08093 -0.19352 -0.07708 -0.26917 1365.3986 687 20151210
7 -0.004 -0.04315 -0.0425 0.01599 118.50548 23 20151210
7 -0.00252 0.04982 -0.00621 0.043 99.60624 31 20151210
7 -0.00438 -0.06618 -0.05389 0.01152 164.1156 35 20151210
7 -0.00325 0.05011 -0.01181 0.05134 106.68848 52 20151210
7 -0.00315 -0.01984 -0.01238 0.08053 211.20676 69 20151210
7 -0.00397 -0.0423 -0.04199 0.01596 116.64796 91 20151210
7 -1 0 0 0 4500 159 20151210
7 -0.00418 -0.0385 -0.04253 0.01942 122.8332 197 20151210
7 0.00826 -0.06089 0.00408 -0.0396 236.88068 227 20151210
7 0.02035 -0.14512 0.07733 -0.10453 805.28484 242 20151210
7 0.12059 -0.1758 -0.09481 -0.21278 1269.51476 283 20151210
7 -0.00184 0.04127 -0.00359 0.03219 83.46756 288 20151210
7 0.0858 0.26149 0.39469 0.17521 1619.34412 356 20151210
7 0 0 0 -1 4250 374 20151210
7 0.01239 0.07228 0.04611 0.11919 270.909 397 20151210
7 -0.00384 -0.0723 -0.04975 0.00093 182.41584 404 20151210
7 0 0 1 0 5301 448 20151210
7 -0.00307 0.06204 -0.00634 0.05511 121.32596 454 20151210
7 0.00352 0.06936 0.02928 -0.01547 246.58672 470 20151210
7 0.00634 0.07413 0.03307 -0.13883 659.95476 488 20151210
7 0 -1 0 0 4400 546 20151210
7 0.04375 -0.05222 -0.0511 -0.0363 283.8634 551 20151210
7 0.04408 -0.04969 -0.06778 -0.02193 215.36828 553 20151210
7 -0.00213 -0.00507 -0.01955 0.01776 70.66088 594 20151210
7 -0.00283 0.04614 -0.00911 0.04489 93.85284 597 20151210
7 -0.00403 -0.04242 -0.04246 0.01658 118.56012 598 20151210
7 0.00606 0.07559 0.03435 -0.10611 553.73196 603 20151210
7 -0.00535 -0.03258 -0.04705 0.02907 147.62084 618 20151210
7 -0.00258 0.05089 -0.00563 0.04449 99.72164 622 20151210
7 -0.00267 0.06039 -0.00376 0.05003 115.6456 656 20151210
8 -0.00264 0.04751 -0.00715 0.05115 99.89188 15 20151210
8 0 -1 0 0 4400 21 20151210
8 -0.0032 0.06003 -0.0119 0.05778 123.35196 63 20151210
8 0.01235 0.07285 0.04607 0.11481 235.17832 66 20151210
8 0.04465 -0.04912 -0.06785 -0.02376 222.40668 77 20151210
8 -0.00272 0.04578 -0.0082 0.05092 101.61768 98 20151210
8 -0.00317 -0.02707 -0.01245 0.10765 286.17704 139 20151210
8 -0.00186 0.03994 -0.00381 0.03763 76.05048 168 20151210
8 0 0 1 0 5301 172 20151210
8 0.00346 0.07708 0.02918 -0.00052 199.63944 213 20151210
8 0.00457 0.08482 0.03394 -0.03023 282.2198 273 20151210
8 0.00629 0.07438 0.03295 -0.17823 651.86516 292 20151210
8 -0.00212 -0.00286 -0.01967 0.0186 71.82544 310 20151210
8 -0.00403 -0.03961 -0.04288 0.01469 113.88144 344 20151210
8 -0.0027 0.05998 -0.00405 0.05871 110.15832 386 20151210
8 0.00359 0.07429 0.02863 -0.00605 203.53752 441 20151210
8 -0.0031 0.06235 -0.00669 0.06447 121.87084 452 20151210
8 0.00829 -0.05963 0.00478 -0.04279 247.23864 481 20151210
8 -0.00254 0.04898 -0.00649 0.05021 97.146 522 20151210
8 -0.00397 -0.04746 -0.04462 0.01042 118.08228 534 20151210
8 -0.00271 0.01985 -0.0162 0.03918 99.62648 537 20151210
8 -0.00397 -0.04077 -0.04272 0.01359 111.82712 552 20151210
8 -0.00435 -0.06342 -0.05409 0.00704 146.57748 558 20151210
8 0.02036 -0.14698 0.07926 -0.10876 809.53176 566 20151210
8 -0.00446 -0.0466 -0.04823 0.01555 126.57312 579 20151210
8 0.12095 -0.17801 -0.09617 -0.21256 1201.05808 586 20151210
8 -1 0 0 0 4500 616 20151210
8 -0.00327 0.06303 -0.01216 0.0592 129.56464 663 20151210
9 -1 0 0 0 4500 24 20151210
9 -0.00186 0.03995 -0.00379 0.03652 77.10716 53 20151210
9 0.00359 0.07429 0.02867 -0.00693 205.58456 58 20151210
9 0.00494 0.09359 0.04154 -0.01344 272.13924 72 20151210
9 -0.00434 -0.06343 -0.05413 0.0081 148.51908 78 20151210
9 -0.27305 -0.10375 -0.17802 0 561.2272 94 20151210
9 -0.00445 -0.0466 -0.04825 0.01622 128.53684 95 20151210
9 0.12095 -0.17802 -0.09625 -0.21371 1178.10268 114 20151210
9 -0.00327 0.06303 -0.01214 0.05759 130.64432 117 20151210
9 0.02036 -0.14702 0.07886 -0.10851 826.46776 128 20151210
9 -0.0027 0.05998 -0.00402 0.05693 111.24736 136 20151210
9 -0.27929 -0.11329 -0.20577 0 561.01648 137 20151210
9 0.00629 0.07438 0.033 -0.17265 587.60332 143 20151210
9 -0.0031 0.06236 -0.00666 0.06256 117.96712 145 20151210
9 -0.00271 0.01985 -0.0162 0.0383 97.66872 163 20151210
